"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"177,469,466","+70,703","3,839,875","+1,793","161,919,535","+89,301","11,710,056","83,488","22,768",492.6,,,,All,"
",,,,,
USA,"34,352,185",,"615,717 ",,"28,578,701",,"5,157,767","4,348","103,205","1,850","496,017,405","1,490,191","332,854,943 ",North America,10,541,1,,,"15,496"
India,"29,633,105",+844,"379,601 ",,"28,388,100","+7,466","865,404","8,944","21,274",273,"383,306,971","275,179","1,392,938,612 ",Asia,47,"3,669",4,0.6,,621
Brazil,"17,543,853",,"491,164 ",,"15,944,646",,"1,108,043","8,318","81,980","2,295","50,870,041","237,709","214,000,878 ",South America,12,436,4,,,"5,178"
France,"5,744,589",,"110,530 ",,"5,511,166",,"122,893","1,952","87,822","1,690","89,539,284","1,368,862","65,411,469 ",Europe,11,592,1,,,"1,879"
Turkey,"5,342,028",,"48,879 ",,"5,211,022",,"82,127",886,"62,697",574,"57,447,635","674,236","85,204,009 ",Asia,16,"1,743",1,,,964
Russia,"5,249,990","+13,397","127,576 ",+396,"4,828,500","+10,256","293,914","2,300","35,960",874,"143,600,000","983,600","145,994,256 ",Europe,28,"1,144",1,92,3,"2,013"
UK,"4,581,006",,"127,917 ",,"4,292,182",,"160,907",188,"67,144","1,875","196,799,580","2,884,509","68,226,374 ",Europe,15,533,0,,,"2,358"
Italy,"4,247,032",,"127,101 ",,"4,014,045",,"105,886",504,"70,342","2,105","68,896,197","1,141,103","60,376,836 ",Europe,14,475,1,,,"1,754"
Argentina,"4,172,742",,"86,615 ",,"3,771,968",,"314,159","7,890","91,525","1,900","15,396,089","337,699","45,591,209 ",South America,11,526,3,,,"6,891"
Colombia,"3,802,052",,"96,965 ",,"3,539,442",,"165,645","8,155","73,970","1,886","18,340,111","356,813","51,399,797 ",South America,14,530,3,,,"3,223"
Spain,"3,745,199",,"80,579 ",,"3,533,204",,"131,416",899,"80,073","1,723","51,240,666","1,095,540","46,772,083 ",Europe,12,580,1,,,"2,810"
Germany,"3,725,303",,"90,638 ",,"3,590,900","+4,900","43,765","1,210","44,328","1,079","62,263,057","740,876","84,039,769 ",Europe,23,927,1,,,521
Iran,"3,060,135","+10,487","82,480  ",+129,"2,696,434","+13,224","281,221","3,346","35,994",970,"21,941,648","258,085","85,016,986 ",Asia,28,"1,031",4,123,2,"3,308"
Poland,"2,878,061",+241,"74,688 ",+62,"2,649,184",+104,"154,189",265,"76,125","1,976","16,718,899","442,217","37,806,989 ",Europe,13,506,2,6,2,"4,078"
Mexico,"2,459,601","+4,250","230,424 ",+239,"1,960,036","+3,460","269,141","4,798","18,887","1,769","7,252,170","55,690","130,223,895 ",North America,53,565,18,33,2,"2,067"
Ukraine,"2,226,037","+1,045","51,847 ",+78,"2,140,978","+4,802","33,212",177,"51,194","1,192","10,576,820","243,244","43,482,346 ",Europe,20,839,4,24,2,764
Peru,"2,007,477",,"189,261 ",,N/A,N/A,N/A,"2,528","60,088","5,665","13,510,063","404,381","33,409,212 ",South America,17,177,2,,,"2,920"
Indonesia,"1,937,652","+9,944","53,476 ",+196,"1,763,870","+6,229","120,306",,"7,013",194,"18,103,302","65,525","276,280,363 ",Asia,143,"5,166",15,36,0.7,435
South Africa,"1,761,066",,"58,087 ",,"1,616,405",,"86,574",546,"29,341",968,"12,270,842","204,442","60,021,000 ",Africa,34,"1,033",5,,,"1,442"
Netherlands,"1,674,628",,"17,715 ",,"1,580,449",,"76,464",254,"97,526","1,032","14,444,249","841,196","17,171,085 ",Europe,10,969,1,,,"4,453"
Czechia,"1,665,526",+213,"30,254 ",+2,"1,630,977",+22,"4,295",19,"155,251","2,820","27,263,556","2,541,355","10,727,959 ",Europe,6,355,0,20,0.2,400
Chile,"1,487,239",,"30,865 ",,"1,413,414",,"42,960","3,275","77,168","1,601","16,081,026","834,395","19,272,684 ",South America,13,624,1,,,"2,229"
Canada,"1,404,093",,"25,972 ",,"1,363,198",,"14,923",670,"36,894",682,"35,830,746","941,485","38,057,711 ",North America,27,"1,465",1,,,392
Philippines,"1,332,832","+5,414","23,121 ",+158,"1,253,541","+7,637","56,170","1,704","12,011",208,"14,177,333","127,758","110,970,140 ",Asia,83,"4,800",8,49,1,506
Iraq,"1,264,301",,"16,762 ",,"1,180,713",,"66,826",452,"30,777",408,"11,062,447","269,292","41,079,782 ",Asia,32,"2,451",4,,,"1,627"
Sweden,"1,084,636",,"14,537 ",,"1,030,414",,"39,685",98,"106,762","1,431","10,423,085","1,025,959","10,159,355 ",Europe,9,699,1,,,"3,906"
Romania,"1,079,983",+104,"32,028 ",+18,"1,044,687",+124,"3,268",192,"56,500","1,676","9,465,003","495,164","19,114,875 ",Europe,18,597,2,5,0.9,171
Belgium,"1,077,087",+508,"25,099 ",+6,"1,003,023",,"48,965",276,"92,551","2,157","14,596,027","1,254,194","11,637,775 ",Europe,11,464,1,44,0.5,"4,207"
Pakistan,"944,065","+1,038","21,828 ",+46,"882,332","+2,016","39,905","2,490","4,196",97,"13,934,493","61,939","224,969,938 ",Asia,238,"10,306",16,5,0.2,177
Portugal,"859,045",,"17,049 ",,"816,503",,"25,493",79,"84,483","1,677","12,425,225","1,221,960","10,168,278 ",Europe,12,596,1,,,"2,507"
Israel,"839,701",,"6,428 ",,"833,052",,221,29,"90,039",689,"14,758,111","1,582,470","9,326,000 ",Asia,11,"1,451",1,,,24
Bangladesh,"833,291",,"13,222 ",,"771,073",,"48,996","1,195","5,012",80,"6,218,979","37,407","166,253,486 ",Asia,200,"12,574",27,,,295
Hungary,"807,209",+107,"29,944 ",+9,"732,901","+1,275","44,364",53,"83,762","3,107","6,009,124","623,554","9,636,896 ",Europe,12,322,2,11,0.9,"4,604"
Japan,"777,643","+1,418","14,187 ",+61,"736,941","+3,625","26,515",803,"6,167",113,"15,557,809","123,371","126,106,205 ",Asia,162,"8,889",8,11,0.5,210
Jordan,"744,377",,"9,614 ",,"727,670",,"7,093",540,"72,272",933,"7,583,811","736,314","10,299,693 ",Asia,14,"1,071",1,,,689
Serbia,"715,147",,"6,976 ",,"704,472",,"3,699",20,"82,166",801,"4,293,037","493,242","8,703,708 ",Europe,12,"1,248",2,,,425
Switzerland,"700,978",,"10,864 ",,"668,678",,"21,436",84,"80,434","1,247","8,017,244","919,936","8,714,999 ",Europe,12,802,1,,,"2,460"
Malaysia,"673,026","+5,150","4,142 ",+73,"600,935","+7,240","67,949",924,"20,544",126,"13,290,585","405,683","32,760,998 ",Asia,49,"7,909",2,157,2,"2,074"
Austria,"649,002",+153,"10,671 ",+3,"634,900",+461,"3,431",92,"71,670","1,178","49,167,859","5,429,649","9,055,440 ",Europe,14,849,0,17,0.3,379
Nepal,"612,202",,"8,506 ",,"540,439",,"63,257",,"20,658",287,"3,231,612","109,046","29,635,231 ",Asia,48,"3,484",9,,,"2,135"
UAE,"601,950",,"1,734 ",,"581,139",,"19,077",,"60,169",173,"53,787,952","5,376,510","10,004,250 ",Asia,17,"5,769",0,,,"1,907"
Lebanon,"542,819",,"7,804 ",,"527,949",,"7,066",77,"79,871","1,148","4,599,186","676,728","6,796,207 ",Asia,13,871,1,,,"1,040"
Morocco,"524,475",,"9,217 ",,"511,794",,"3,464",119,"14,051",247,"6,646,846","178,069","37,327,398 ",Africa,71,"4,050",6,,,93
Saudi Arabia,"468,175",,"7,606 ",,"450,255",,"10,314","1,569","13,252",215,"20,526,803","581,004","35,329,897 ",Asia,75,"4,645",2,,,292
Ecuador,"439,374",,"21,061 ",,"398,645",,"19,668",434,"24,549","1,177","1,472,652","82,280","17,898,069 ",South America,41,850,12,,,"1,099"
Bulgaria,"420,654",,"17,932 ",,"390,971",,"11,751",241,"60,979","2,599","3,013,425","436,831","6,898,378 ",Europe,16,385,2,,,"1,703"
Greece,"416,195",,"12,459 ",,"394,314",,"9,422",343,"40,118","1,201","10,129,590","976,407","10,374,348 ",Europe,25,833,1,,,908
Bolivia,"411,677","+2,571","15,738 ",+124,"326,484","+2,456","69,455",200,"34,815","1,331","1,660,189","140,401","11,824,655 ",South America,29,751,7,217,10,"5,874"
Belarus,"406,861",,"2,995 ",,"399,549",,"4,317",,"43,071",317,"6,555,214","693,941","9,446,352 ",Europe,23,"3,154",1,,,457
Kazakhstan,"404,064","+1,068","4,195 ",+15,"379,974","+1,267","19,895",221,"21,277",221,"11,575,012","609,510","18,990,692 ",Asia,47,"4,527",2,56,0.8,"1,048"
Paraguay,"396,149",,"11,069 ",,"330,395",,"54,685",582,"54,899","1,534","1,424,043","197,345","7,216,004 ",South America,18,652,5,,,"7,578"
Slovakia,"391,149",+62,"12,456 ",+10,"377,544",+119,"1,149",42,"71,611","2,280","2,903,570","531,578","5,462,169 ",Europe,14,439,2,11,2,210
Panama,"389,173",,"6,452 ",,"373,070",,"9,651",105,"88,864","1,473","2,817,872","643,436","4,379,410 ",North America,11,679,2,,,"2,204"
Tunisia,"372,221",,"13,656 ",,"324,846",,"33,719",424,"31,183","1,144","1,575,876","132,022","11,936,492 ",Africa,32,874,8,,,"2,825"
Croatia,"358,823",+146,"8,162 ",+2,"349,860",+110,801,28,"87,924","2,000","2,092,201","512,664","4,081,041 ",Europe,11,500,2,36,0.5,196
Georgia,"356,179",+811,"5,096 ",+13,"341,775",+672,"9,308",,"89,451","1,280","5,434,673","1,364,863","3,981,846 ",Asia,11,781,1,204,3,"2,338"
Costa Rica,"345,312",,"4,407 ",,"265,255",,"75,650",485,"67,201",858,"1,351,949","263,103","5,138,472 ",North America,15,"1,166",4,,,"14,722"
Uruguay,"343,615",,"5,089 ",,"307,189",,"31,337",437,"98,592","1,460","2,576,667","739,312","3,485,225 ",South America,10,685,1,,,"8,991"
Azerbaijan,"335,264",,"4,958 ",,"328,876",,"1,430",,"32,784",485,"3,637,889","355,738","10,226,319 ",Asia,31,"2,063",3,,,140
Kuwait,"331,013",,"1,831 ",,"312,850",,"16,332",185,"76,434",423,"2,775,505","640,891","4,330,696 ",Asia,13,"2,365",2,,,"3,771"
Palestine,"311,948",,"3,542 ",,"304,390",,"4,016",13,"59,829",679,"1,865,311","357,749","5,214,023 ",Asia,17,"1,472",3,,,770
Dominican Republic,"310,391",,"3,717 ",,"253,272",,"53,402",469,"28,342",339,"1,632,441","149,059","10,951,609 ",North America,35,"2,946",7,,,"4,876"
Denmark,"290,333",,"2,527 ",,"280,084",,"7,722",19,"49,957",435,"63,242,649","10,881,993","5,811,679 ",Europe,20,"2,300",0,,,"1,329"
Lithuania,"278,072",+126,"4,352 ",+3,"264,362",+325,"9,358",83,"103,531","1,620","3,633,644","1,352,867","2,685,885 ",Europe,10,617,1,47,1,"3,484"
Ethiopia,"274,480",,"4,257 ",,"251,880",,"18,343",242,"2,333",36,"2,797,358","23,774","117,666,384 ",Africa,429,"27,641",42,,,156
Egypt,"274,404",,"15,691 ",,"202,650",,"56,063",90,"2,634",151,"2,869,589","27,547","104,169,640 ",Africa,380,"6,639",36,,,538
Guatemala,"273,730",,"8,500 ",,"248,316",,"16,914",5,"15,015",466,"1,505,963","82,606","18,230,717 ",North America,67,"2,145",12,,,928
Ireland,"267,344",,"4,941 ",,"250,731",,"11,672",23,"53,572",990,"4,729,538","947,737","4,990,348 ",Europe,19,"1,010",1,,,"2,339"
Bahrain,"260,334",,"1,246 ",,"247,493",,"11,595",266,"148,124",709,"4,845,013","2,756,703","1,757,539 ",Asia,7,"1,411",0,,,"6,597"
Slovenia,"256,701",+118,"4,409 ",+1,"250,016",+374,"2,276",38,"123,461","2,121","1,323,715","636,643","2,079,211 ",Europe,8,472,2,57,0.5,"1,095"
Moldova,"255,878",,"6,156 ",,"248,812",,910,59,"63,572","1,529","1,187,376","295,000","4,024,999 ",Europe,16,654,3,,,226
Venezuela,"254,116",,"2,865 ",,"234,393",,"16,858",287,"8,961",101,"3,359,014","118,447","28,358,896 ",South America,112,"9,898",8,,,594
Honduras,"249,118","+1,003","6,674 ",+21,"90,548","+1,224","151,896",570,"24,777",664,"757,632","75,352","10,054,524 ",North America,40,"1,507",13,100,2,"15,107"
Oman,"240,708","+2,142","2,591 ",+26,"212,808",+744,"25,309",383,"46,026",495,"1,550,000","296,375","5,229,869 ",Asia,22,"2,018",3,410,5,"4,839"
Sri Lanka,"228,256",,"2,315 ",,"192,478",,"33,463",,"10,617",108,"3,743,577","174,128","21,498,965 ",Asia,94,"9,287",6,,,"1,556"
Armenia,"223,904",+99,"4,490 ",+1,"215,533",+78,"3,881",,"75,426","1,513","1,134,905","382,312","2,968,534 ",Asia,13,661,3,33,0.3,"1,307"
Qatar,"220,033",,579 ,,"217,352",,"2,102",80,"78,365",206,"2,090,365","744,484","2,807,805 ",Asia,13,"4,849",1,,,749
Bosnia and Herzegovina,"204,697",,"9,534 ",,"178,136",,"17,027",,"62,766","2,923","1,006,995","308,772","3,261,291 ",Europe,16,342,3,,,"5,221"
